route_id,agency_id,route_short_name,tts_route_short_name,route_long_name,tts_route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,direction0_name,direction1_name
10866892,SLOT,1A,,Johnson/Tank Farm/Airport,,,3,https://www.slocity.org/home/showpublisheddocument/37106/638755596421930000,42205F,FFFFFF,,Johnson/Orcutt/Marigold Center,
10866826,SLOT,1B,,Broad/Airport/Johnson,,,3,https://www.slocity.org/home/showpublisheddocument/37108/638755596428100000,8556A3,FFFFFF,,A,Performing Arts Center / Ramona at Palomar
10866895,SLOT,2A,,Higuera/LOVR/Madonna,,,3,https://www.slocity.org/home/showpublisheddocument/37110/638755596433130000,223F99,FFFFFF,,Promenade,A
10866883,SLOT,2B,,Madonna/LOVR/Higuera,,,3,https://www.slocity.org/home/showpublisheddocument/37112/638755596438500000,509CD5,FFFFFF,,B,Promenade/Irish Hills
10866897,SLOT,3A,,Promenade/LOVR/Cal Poly,,,3,https://www.slocity.org/home/showpublisheddocument/37114/638755596444130000,C65427,FFFFFF,,Laguna Lane,A
10866849,SLOT,3B,,Cal Poly/LOVR/Amtrak,,,3,https://www.slocity.org/home/showpublisheddocument/37116/638755596450900000,F4A31E,000000,,A,Kennedy Library/Promenade/Amtrak
10867636,SLOT,4A,,Monterey/Foothill/Cal Poly,,,3,https://www.slocity.org/home/showpublisheddocument/37118/638755596456130000,12592E,FFFFFF,,University Square/Kennedy Library,B
10867637,SLOT,4B,,Cal Poly/Ramona/Monterey,,,3,https://www.slocity.org/home/showpublisheddocument/37120/638755596462130000,24964C,FFFFFF,,Cal Poly/Ramona at Palomar,B
11162412,SLOT,6X,,6 Express,,,3,https://www.slocity.org/home/showpublisheddocument/36968/638719508868070000,D90000,FFFFFF,,Downtown / Cal Poly,B
11096761,SLOT,LT,,Laguna Tripper,,,3,https://www.slocity.org/home/showpublisheddocument/35789/638581057753830000,FFCC00,000000,,Laguna Lane,Transit Center
trolley,SLOT,,,Old SLO Trolley,,,3,https://www.slocity.org/visiting/transportation/trolley-schedule,00B7AE,FFFFFF,,Downtown Loop / Monterey Street,
