shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
10867637:6112,35.28292800,-120.66243000,0,0.000000
10867637:6112,35.28295135,-120.66239166,1,4.342079
10867637:6112,35.28264999,-120.66218567,2,42.715538
10867637:6112,35.28349304,-120.66075134,3,203.145784
10867637:6112,35.28258896,-120.65995026,4,327.216397
10867637:6112,35.28332138,-120.65866852,5,469.231744
10867637:6112,35.28332138,-120.65866852,6,469.231744
10867637:6112,35.28580093,-120.65499115,7,902.165056
10867637:6112,35.28580475,-120.65499115,8,902.589231
10867637:6112,35.28659058,-120.65384674,9,1038.327677
10867637:6112,35.28718185,-120.65321350,10,1125.655679
10867637:6112,35.28718185,-120.65321350,11,1125.655679
10867637:6112,35.28863144,-120.65164948,12,1340.441408
10867637:6112,35.28937912,-120.65232849,13,1443.931265
10867637:6112,35.28937912,-120.65232849,14,1443.931265
10867637:6112,35.29026031,-120.65308380,15,1563.515959
10867637:6112,35.29108047,-120.65312195,16,1654.779278
10867637:6112,35.29127121,-120.65310669,17,1676.033194
10867637:6112,35.29127121,-120.65310669,18,1676.033194
10867637:6112,35.29407120,-120.65308380,19,1987.384561
10867637:6112,35.29407120,-120.65308380,20,1987.384561
10867637:6112,35.29623032,-120.65306091,21,2227.476587
10867637:6112,35.29700089,-120.65331268,22,2316.154210
10867637:6112,35.29727936,-120.65357971,23,2355.474625
10867637:6112,35.29933167,-120.65653229,24,2707.435997
10867637:6112,35.30017090,-120.65718079,25,2817.762146
10867637:6112,35.30031967,-120.65753174,26,2853.651139
10867637:6112,35.30031967,-120.65753174,27,2853.651139
10867637:6112,35.30044174,-120.65808105,28,2905.316482
10867637:6112,35.30110931,-120.65802002,29,2979.753467
10867637:6112,35.30136108,-120.65805054,30,3007.885665
10867637:6112,35.30152893,-120.65814972,31,3028.606317
10867637:6112,35.30247116,-120.65886688,32,3151.945570
10867637:6112,35.30266953,-120.65917969,33,3187.894096
10867637:6112,35.30282974,-120.65956879,34,3227.443565
10867637:6112,35.30287933,-120.65988922,35,3257.040321
10867637:6112,35.30284119,-120.66043854,36,3307.069365
10867637:6112,35.30228043,-120.66349030,37,3590.941506
10867637:6112,35.30226898,-120.66356659,38,3597.980986
10867637:6112,35.30226898,-120.66356659,39,3597.980986
10867637:6112,35.30211258,-120.66448212,40,3682.863862
10867637:6112,35.30206680,-120.66458893,41,3693.812016
10867637:6112,35.30189133,-120.66542053,42,3771.760173
10867637:6112,35.30170059,-120.66638947,43,3862.210897
10867637:6112,35.30221939,-120.66638947,44,3919.898695
10867637:6112,35.30271912,-120.66655731,45,3977.515420
10867637:6112,35.30260086,-120.66687012,46,4008.799386
10867637:6112,35.30247116,-120.66755676,47,4072.757965
10867637:6112,35.30247116,-120.66755676,48,4072.757965
10867637:6112,35.30231857,-120.66813660,49,4128.044443
10867637:6112,35.30197144,-120.66870117,50,4192.191783
10867637:6112,35.30054092,-120.67008972,51,4395.120957
10867637:6112,35.29975891,-120.67073059,52,4499.733540
10867637:6112,35.29928970,-120.67099762,53,4557.260227
10867637:6112,35.29895020,-120.67147064,54,4614.426171
10867637:6112,35.29888916,-120.67170715,55,4636.937366
10867637:6112,35.29885101,-120.67263794,56,4721.514156
10867637:6112,35.29880142,-120.67288208,57,4744.346219
10867637:6112,35.29813004,-120.67453766,58,4912.118567
10867637:6112,35.29804993,-120.67494965,59,4950.553901
10867637:6112,35.29804993,-120.67549896,60,5000.405764
10867637:6112,35.29821014,-120.67639160,61,5083.350785
10867637:6112,35.29822922,-120.67774963,62,5206.613657
10867637:6112,35.29822922,-120.67774963,63,5206.613657
10867637:6112,35.29822922,-120.67839813,64,5265.466420
10867637:6112,35.29827118,-120.68070984,65,5475.311036
10867637:6112,35.29827118,-120.68070984,66,5475.311036
10867637:6112,35.29825974,-120.68350983,67,5729.419567
10867637:6112,35.29790900,-120.68356300,68,5768.716944
10867637:6112,35.29790878,-120.68350983,69,5773.542628
10867637:6112,35.29443112,-120.68356991,70,6160.279664
10867637:6112,35.29415131,-120.68350983,71,6191.867625
10867637:6112,35.29415131,-120.68208313,72,6321.350228
10867637:6112,35.29415131,-120.68208313,73,6321.350228
10867637:6112,35.29415131,-120.67800140,74,6691.795107
10867637:6112,35.29288864,-120.67801666,75,6832.203855
10867637:6112,35.29290009,-120.67746735,76,6882.075131
10867637:6112,35.29290009,-120.67746735,77,6882.075131
10867637:6112,35.29290009,-120.67485809,78,7118.886546
10867637:6112,35.29280090,-120.67436218,79,7165.226087
10867637:6112,35.29277039,-120.67402649,80,7195.881491
10867637:6112,35.29277039,-120.67402649,81,7195.881491
10867637:6112,35.29278183,-120.67172241,82,7404.999856
10867637:6112,35.29410172,-120.67167664,83,7551.823192
10867637:6112,35.29407883,-120.66989899,84,7713.177324
10867637:6112,35.29407883,-120.66989899,85,7713.177324
10867637:6112,35.29405975,-120.66805267,86,7880.756636
10867637:6112,35.29312134,-120.66767883,87,7990.481162
10867637:6112,35.29312134,-120.66767883,88,7990.481162
10867637:6112,35.29240036,-120.66744232,89,8073.474194
10867637:6112,35.29061127,-120.66693115,90,8277.750301
10867637:6112,35.29005814,-120.66658020,91,8347.014391
10867637:6112,35.29005814,-120.66658020,92,8347.014391
10867637:6112,35.28971863,-120.66629028,93,8393.031497
10867637:6112,35.28966904,-120.66616821,94,8405.407236
10867637:6112,35.28591156,-120.66285706,95,8920.079827
10867637:6112,35.28434753,-120.66148376,96,9134.048995
10867637:6112,35.28347015,-120.66284180,97,9291.251445
10867637:6112,35.28306961,-120.66249084,98,9346.009522
10867637:6112,35.28295135,-120.66239166,99,9361.945520
10867637:6112,35.28292800,-120.66243000,100,9366.287599
11096761:1606,35.25068957,-120.68566806,0,0.000000
11096761:1606,35.25064087,-120.68576050,1,9.989104
11096761:1606,35.25342941,-120.68820190,2,391.159581
11096761:1606,35.25540161,-120.68981171,3,654.708784
11096761:1606,35.25664902,-120.69071960,4,816.062328
11096761:1606,35.25677109,-120.69090271,5,837.525294
11096761:1606,35.25777817,-120.69172668,6,972.200324
11096761:1606,35.25794983,-120.69185638,7,994.628677
11096761:1606,35.25794983,-120.69185638,8,994.628677
11096761:1606,35.25825882,-120.69214630,9,1037.911706
11096761:1606,35.25962830,-120.69380188,10,1251.886247
11096761:1606,35.25968933,-120.69386292,11,1260.648173
11096761:1606,35.25968933,-120.69386292,12,1260.648173
11096761:1606,35.26229858,-120.69699860,13,1667.137463
11096761:1606,35.26235962,-120.69705963,14,1675.899273
11096761:1606,35.26237106,-120.69705963,15,1677.171798
